initializing...
output file is /home/zzha/reporter_seq/tag/2482_tag.csv
connecting to database ...schema is modencode_experiment_2482_data,public
database connected.
G 2501:G 110 
G 2501:G 111 
G 2501:G 112 
G 2501:G 113 
G 2501:G 114 
G 2501:G 115 
G 2501:G 116 
G 2501:G 117 
G 2501:G 118 
H 2501:H 119 
H 2501:H 120 
H 2501:H 121 
H 2501:H 122 
H 2501:H 123 
H 2501:H 124 
H 2501:H 125 
H 2501:H 126 
H 2501:H 127 
H 2501:H 128 
H 2501:H 129 
H 2501:H 130 
H 2501:H 131 
H 2501:H 132 
H 2501:H 133 
H 2501:H 134 
H 2501:H 135 
A 2501:A 136 
A 2501:A 137 
A 2501:A 138 
A 2501:A 139 
A 2501:A 140 
A 2501:A 141 
A 2501:A 142 
A 2501:A 143 
A 2501:A 144 
A 2501:A 145 
A 2501:A 146 
A 2501:A 147 
A 2501:A 148 
A 2501:A 149 
A 2501:A 150 
A 2501:A 151 
A 2501:A 152 
B 2501:B 153 
B 2501:B 154 
B 2501:B 155 
B 2501:B 156 
B 2501:B 157 
B 2501:B 158 
B 2501:B 159 
B 2501:B 160 
B 2501:B 161 
B 2501:B 162 
B 2501:B 163 
B 2501:B 164 
B 2501:B 165 
B 2501:B 166 
B 2501:B 167 
B 2501:B 168 
B 2501:B 169 
C 2501:C 170 
C 2501:C 171 
C 2501:C 172 
C 2501:C 173 
C 2501:C 174 
C 2501:C 175 
C 2501:C 176 
C 2501:C 177 
C 2501:C 178 
C 2501:C 179 
C 2501:C 180 
C 2501:C 181 
C 2501:C 182 
C 2501:C 183 
C 2501:C 184 
C 2501:C 185 
C 2501:C 186 
D 2501:D 187 
D 2501:D 188 
D 2501:D 189 
D 2501:D 190 
D 2501:D 191 
D 2501:D 192 
D 2501:D 193 
D 2501:D 194 
D 2501:D 195 
D 2501:D 196 
D 2501:D 197 
D 2501:D 198 
D 2501:D 199 
D 2501:D 200 
D 2501:D 201 
D 2501:D 202 
D 2501:D 203 
E 2501:E 204 
E 2501:E 205 
E 2501:E 206 
E 2501:E 207 
E 2501:E 208 
E 2501:E 209 
E 2501:E 210 
E 2501:E 211 
E 2501:E 212 
E 2501:E 213 
E 2501:E 214 
E 2501:E 215 
E 2501:E 216 
E 2501:E 217 
E 2501:E 218 
E 2501:E 219 
E 2501:E 220 
F 2501:F 221 
F 2501:F 222 
F 2501:F 223 
F 2501:F 224 
F 2501:F 225 
F 2501:F 226 
F 2501:F 227 
F 2501:F 228 
F 2501:F 229 
F 2501:F 230 
F 2501:F 231 
F 2501:F 232 
F 2501:F 233 
F 2501:F 234 
F 2501:F 235 
F 2501:F 236 
F 2501:F 237 
G 2501:G 238 
G 2501:G 239 
G 2501:G 240 
G 2501:G 241 
G 2501:G 242 
G 2501:G 243 
G 2501:G 244 
G 2501:G 245 
G 2501:G 246 
G 2501:G 247 
G 2501:G 248 
G 2501:G 249 
G 2501:G 250 
G 2501:G 251 
G 2501:G 252 
G 2501:G 253 
G 2501:G 254 
H 2501:H 255 
H 2501:H 256 
H 2501:H 257 
H 2501:H 258 
H 2501:H 259 
H 2501:H 260 
H 2501:H 261 
H 2501:H 262 
H 2501:H 263 
H 2501:H 264 
H 2501:H 265 
H 2501:H 266 
H 2501:H 267 
H 2501:H 268 
H 2501:H 269 
H 2501:H 270 
H 2501:H 271 
V1 2501:V1 272 
V1 2501:V1 273 
V1 2501:V1 274 
V1 2501:V1 275 
V1 2501:V1 276 
V1 2501:V1 277 
V1 2501:V1 278 
V1 2501:V1 279 
V1 2501:V1 280 
V1 2501:V1 281 
V1 2501:V1 282 
V1 2501:V1 283 
V1 2501:V1 284 
V1 2501:V1 285 
V1 2501:V1 286 
V1 2501:V1 287 
V1 2501:V1 288 
connecting to database ...schema is modencode_experiment_2501_data,public
database connected.
loading experiment ...try to find num_of_rows ...289 done
try to find num_of_cols ...6 done
try to find title ...Mixed-stage 3'RACE 454 sequencing & alignment done
try to find description ...The 3' untranslated region (3'UTR) constitutes a major site of post-transcriptional regulation of gene expression. Sequence elements in the 3'UTR interact with trans-acting regulators such as microRNAs that affect translation and stability. The overall aim is to use a 3'RACE cloning-sequencing stragety to identify the 3'UTRs of C. elegans transcripts and explore their heterogeneity in different developmental stages and tissues. done
try to find organism ...Caenorhabditis elegans done
try to find project ...Fabio Piano done
try to find lab ...Piano done
try to find factors ... temperature : 25 degree celsius done
try to find data_type ...NA done
try to find assay_type ...NA done
try to find hyb_slot ...NA done
try to find seq_slot ...4 done
try to find ip_slot ...NA done
try to find label_slot ...3 done
try to find raw_slot ...NA done
try to find norm_slot ...5 done
try to find platform ... done
try to find sample_name_slot ...NA done
try to find source_name_slot ...NA done
try to find extract_name_slot ...NA done
try to find hybridization_name_slot ...NA done
try to find replicate_group_slot ...NA done
try to find last_extraction_slot ...
