Dm_DmD20-c5_TotalRNA_p200_188-190-192_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD20-c5				2008-03-26	2009-01-27	released	57	GSE16279, GSM409500, GSM409501, GSM409502	ML-DmD20-c5.bed.gff3
Dm_DmD21_TotalRNA_p200_050-052-054_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD21				2008-03-26	2009-01-27	released	58	GSE16280, GSM409503, GSM409504, GSM409505	ML-DmD21.bed.gff3
Dm_DmD32_TotalRNA_p200_164-166-168_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD32				2008-03-26	2009-01-27	released	59	GSE16281, GSM409506, GSM409507, GSM409508	ML-DmD32.bed.gff3
Dm_DmD4-c1_TotalRNA_p200_140-142-144_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD4-c1				2008-03-26	2009-01-27	released	60	GSE16282, GSM409509, GSM409510, GSM409511	ML-DmD4-c1.bed.gff3
Dm_DmD8_TotalRNA_p200_206-208-210_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD8				2008-03-26	2009-01-27	released	61	GSE16283, GSM409512, GSM409513, GSM409514	ML-DmD8.bed.gff3
Dm_DmD9_TotalRNA_p200_072-074-076_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD9				2008-03-26	2009-01-27	released	62	GSE16284, GSM409515, GSM409516, GSM409517	ML-DmD9.bed.gff3
Dm_S1_TotalRNA_p200_026-028-030_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	S1				2008-03-26	2009-01-27	released	63	GSE16285, GSM409518, GSM409519, GSM409520	S1.bed.gff3
Dm_S2-DRSC_TotalRNA_p200_014-016-018_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	S2-DRSC				2008-03-26	2009-01-27	released	64	GSE16286, GSM409521, GSM409522, GSM409523	S2-DRSC.bed.gff3
Dm_S2Rp_TotalRNA_p200_020-022-024_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	S2R+				2008-03-26	2009-01-27	released	65	GSE16287, GSM409524, GSM409525, GSM409526	S2R+.bed.gff3
Dm_S3_TotalRNA_p200_104-106-108_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	S3				2008-03-26	2009-01-27	released	66	GSE16288, GSM409527, GSM409528, GSM409529	S3.bed.gff3
Dm_Sg4_TotalRNA_p200_200-202-204_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	Sg4				2008-03-26	2009-01-27	released	67	GSE16289, GSM409530, GSM409531, GSM409532	Sg4.bed.gff3
Dm_DmD16-c3_TotalRNA_p200_138-136-138_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD16-c3				2008-03-26	2009-01-27	released	69	GSE16290, GSM409533, GSM409534, GSM409535	ML-DmD16-c3.bed.gff3
DPY-27_N2_Mixed_Embryos (JL00001_DPY27_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=DPY-27;Array=86bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-21	2009-12-04	released	90	GSM147959	computed_peaks/DPY27_peaks.gff
Dm_y[1]cn[1] bw[1] sp[1]_larval_L1_TotalRNA_p200_284-286-288_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	larva: first instar larval stage, larval stage	2008-09-23	2009-01-28	released	93	GSE16292, GSM409538, GSM409539, GSM409540	Dro2_AS_Dm_L1_larvae_729.gff
Dm_y[1]cn[1] bw[1] sp[1]_larval_L2_TotalRNA_p200_290-292-294_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, second instar larval stage	2008-09-23	2009-01-27	released	94	GSE16293, GSM409541, GSM409542, GSM409543	Dro2_AS_Dm_L2_larvae_659.gff
Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupae_TotalRNA_p200_326-328-330_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	larva: prepupal stage, prepupal stage P1	2008-09-23	2009-01-27	released	95	GSE16294, GSM409544, GSM409545, GSM409546	Dro2_AS_Dm_WPP_RW_788.gff
Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_1dayPostEclosion_TotalRNA_p200_374-376-378_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2008-09-23	2009-01-27	released	96	GSE16295, GSM409547, GSM409548, GSM409549	Dro2_AS_DroAdF-Ecl+1day_754.gff
Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_5dayPostEclosion_TotalRNA_p200_386-388-390_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2008-09-23	2009-01-27	released	97	GSE16296, GSM409550, GSM409551, GSM409552	Dro2_AS_DroAdF-Ecl+5day_755.gff
Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_1dayPostEclosion_TotalRNA_p200_368-370-372_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2008-09-23	2009-01-28	released	98	GSE16297, GSM409553, GSM409554, GSM409555	Dro2_AS_DroAdM-Ecl+1day_730.gff
Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_5dayPostEclosion_TotalRNA_p200_380-382-384_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2008-09-23	2009-01-28	released	99	GSE16298, GSM409556, GSM409557, GSM409558	Dro2_AS_DroAdM-Ecl+5day_756.gff
Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, third instar larval stage	2008-09-23	2009-01-28	released	100	GSE16299, GSM409559, GSM409560, GSM409561	Dro2_AS_L3-larvae-dark-blue_RW_789.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_TotalRNA_p200_212-214-216_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, pre-blastoderm stage, embryonic stage 1-2	2008-09-23	2009-01-28	released	101	GSE16300, GSM409562, GSM409563, GSM409564	Dro2_AS_Dm_emb_2h_578.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_poly-Ap_p200_403-404-405_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, pre-blastoderm stage, embryonic stage 1-2	2008-09-23	2009-01-28	released	102	GSE16301, GSM409565, GSM409566, GSM409567	Dro2_AS_Dm_emb_2h_RWP+_579.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_TotalRNA_p200_236-238-240_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: late extended germ band stage, embryonic stage 12-13	2008-09-23	2009-01-29	released	103	GSE16302, GSM409568, GSM409569, GSM409570	Dro2_AS_Dm_emb_10h_724.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_poly-Ap_p200_415-416-417_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: late extended germ band stage, embryonic stage 12-13	2008-09-23	2009-01-29	released	104	GSE16303, GSM409571, GSM409572, GSM409573	Dro2_AS_Dm_emb_10h_RW+_725.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_TotalRNA_p200_242-244-246_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 13-15	2008-09-23	2009-01-28	released	105	GSE16304, GSM409574, GSM409575, GSM409576	Dro2_AS_Dm_emb_12h_726.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_poly-Ap_p200_418-419-420_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 13-15	2008-09-23	2009-01-27	released	106	GSE16305, GSM409577, GSM409578, GSM409579	Dro2_AS_Dm_emb_12h_RW+_727.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_TotalRNA_p200_248-250-252_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: dorsal closure stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 15-16	2008-09-23	2009-01-27	released	107	GSE16306, GSM409580, GSM409581, GSM409582	Dro2_AS_Dm_emb_14h_722.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_poly-Ap_p200_421-422-423_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: dorsal closure stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 15-16	2008-09-23	2008-09-23	released	108	GSE16307, GSM409583, GSM409584, GSM409585	Dro2_AS_Dm_emb_14h_RW+_684.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_TotalRNA_p200_254-256-258_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16	2008-09-23	2009-01-29	released	109	GSE16308, GSM409586, GSM409587, GSM409588	Dro2_AS_Dm_emb_16h_654.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_poly-Ap_p200_424-425_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	2		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16	2008-09-23	2009-03-02	released	110	GSE16309, GSM409589, GSM409590	Dro2_AS_Dm_emb_16h_RW+_787.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_TotalRNA_p200_260-262-264_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 17	2008-09-23	2009-01-31	released	111	GSE16310, GSM409591, GSM409592, GSM409593	Dro2_AS_Dm_emb_18h_685.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_poly-Ap_p200_427-428-429_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 17	2008-09-23	2009-01-29	released	112	GSE16311, GSM409594, GSM409595, GSM409596	Dro2_AS_Dm_emb_18h_RW+_723.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_TotalRNA_p200_266-268-270_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, late embryonic stage, embryonic stage 17	2008-09-23	2009-01-29	released	113	GSE16312, GSM409597, GSM409598, GSM409599	Dro2_AS_Dm_emb_20h_686.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_poly-Ap_p200_431-432_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	2		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, late embryonic stage, embryonic stage 17	2008-09-23	2009-03-02	released	114	GSE16313, GSM409600, GSM409601	Dro2_AS_Dm_emb_20h_686.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_poly-Ap_p200_433-434-435_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, embryonic stage 17	2008-09-23	2009-01-31	released	115	GSE16314, GSM409602, GSM409603, GSM409604	Dro2_AS_Dm_emb_22h_RW+_689.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_TotalRNA_p200_274-276_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, embryonic stage 17	2008-09-23	2009-03-02	released	116	GSE16315, GSM409605, GSM409606	Dro2_AS_Dm_emb_22h_RW_728.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_22-24h_TotalRNA_p200_278-280-282_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, late embryonic stage, embryonic stage 17	2008-09-23	2009-01-29	released	117	GSE16316, GSM409607, GSM409608, GSM409609	Dro2_AS_Dm_emb_24h_658.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_TotalRNA_p200_218-220-222_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, embryonic stage 5-9	2008-09-23	2009-01-31	released	118	GSE16317, GSM409610, GSM409611, GSM409612	Dro2_AS_Dm_emb_4h_649.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_poly-Ap_p200_406-407-408_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, embryonic stage 5-9	2008-09-23	2009-01-29	released	119	GSE16318, GSM409613, GSM409614, GSM409615	Dro2_AS_Dm_emb_4h_RWP+_650.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_TotalRNA_p200_224-226-228_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, extended germ band stage, late extended germ band stage, embryonic stage 9-11	2008-09-23	2009-01-29	released	120	GSE16319, GSM409616, GSM409617, GSM409618	Dro2_AS_Dm_emb_6h_651.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_poly-Ap_p200_409-410-411_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, extended germ band stage, late extended germ band stage, embryonic stage 9-11	2008-09-23	2009-01-29	released	121	GSE23219, GSM571093, GSM571094, GSM571095	Dro2_AS_Dm_emb_6h_RWP+_652.gff
Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_poly-Ap_p200_412-413-414_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, late extended germ band stage, embryonic stage 11-12	2008-09-23	2009-01-29	released	122	GSE16320, GSM409619, GSM409620, GSM409621	Dro2_AS_Dm_emb_8h_RWP+_653.gff
SDC-3_N2_Mixed_Embryos_(JL00002_SDC3_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-3;AbName=SDC-3;Array=86bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-30	2009-12-04	released	127	GSM147967	computed_peaks/SDC3_chrX_peaks.gff
Dm_mbn2_TotalRNA_p200_044-046-048_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	mbn2				2008-10-10	2009-01-27	released	139	GSE16321, GSM409622, GSM409623, GSM409624	Dro2_AS_mbn2_791.gff
Dm_CME_W2_TotalRNA_p200_460-462-464_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	CME W2				2008-10-10	2009-01-27	released	140	GSE16322, GSM409625, GSM409626, GSM409627	Dro2_AS_CME-W2_786.gff
POL-2_CTD_Mixed_Embryos (ABAB5408_4H8_N2_MXEMB)	Lieb	Desai	ChIP-chip	chromatin		Target=ama-1;AbName=ab5408;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-06-02	2010-02-15	released	174	GSE22669, GSM562194, GSM562195, GSM562196, GSM562197, GSM562198, GSM562199	computed_peaks/ABAB5408_4H8_N2_MXEMB_peaks.gff
Histone_H3K36me3_from_N2_L3_larvae_(AB9050_H3K36ME3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-16	released	175	GSE22670, GSM562200, GSM562201, GSM562202	
Histone_H3K4me3_from_N2_L3_larvae_(AR0169_H3K4me3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K4Me3;AbName=H3K4Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-16	released	176	GSE22697, GSM562582, GSM562583, GSM562584	
Negative_control_antibody_from_N2_L3_larvae_(JA00002_IGG_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=none;AbName=JA00002_IGG;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-17	released	179	GSE22698, GSM562585, GSM562586, GSM562587	
Histone_H3K9me3_from_N2_L3_larvae_(UP07442_H3K9ME3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-17	released	188	GSE22699, GSM562588, GSM562589, GSM562590	
HCP-3_CENP-A_Mixed_Embryos_(OD00001_HCP3_N2_MXEMB)	Lieb	Desai	ChIP-chip	chromatin		Target=hcp-3;AbName=OD00001_HCP3;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-01-04	2010-02-17	released	194	GSE15064, GSM376935, GSM376936, GSM376937, GSM376938, GSM376939, GSM376940, GSM376941, GSM376942, GSM376943	
