Submission ID	Description	Project	Lab	Assay	Data Type	Experimental Factor	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	GFF Files	GEO/SRA IDs
112	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_poly-Ap_p200_427-428-429_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 17	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_18h_RW+_723.gff	GSE16311, GSM409594, GSM409595, GSM409596
113	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_TotalRNA_p200_266-268-270_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, late embryonic stage, embryonic stage 17	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_20h_686.gff	GSE16312, GSM409597, GSM409598, GSM409599
114	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_poly-Ap_p200_431-432_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, late embryonic stage, embryonic stage 17	9/23/08	3/2/09	released	Dro2_AS_Dm_emb_20h_686.gff	GSE16313, GSM409600, GSM409601
115	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_poly-Ap_p200_433-434-435_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, embryonic stage 17	9/23/08	1/31/09	released	Dro2_AS_Dm_emb_22h_RW+_689.gff	GSE16314, GSM409602, GSM409603, GSM409604
116	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_TotalRNA_p200_274-276_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, embryonic stage 17	9/23/08	3/2/09	released	Dro2_AS_Dm_emb_22h_RW_728.gff	GSE16315, GSM409605, GSM409606
117	Dm_y[1]cn[1] bw[1] sp[1]_embryo_22-24h_TotalRNA_p200_278-280-282_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, late embryonic stage, embryonic stage 17	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_24h_658.gff	GSE16316, GSM409607, GSM409608, GSM409609
118	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_TotalRNA_p200_218-220-222_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, embryonic stage 5-9	9/23/08	1/31/09	released	Dro2_AS_Dm_emb_4h_649.gff	GSE16317, GSM409610, GSM409611, GSM409612
119	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_poly-Ap_p200_406-407-408_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, embryonic stage 5-9	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_4h_RWP+_650.gff	GSE16318, GSM409613, GSM409614, GSM409615
120	Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_TotalRNA_p200_224-226-228_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, extended germ band stage, late extended germ band stage, embryonic stage 9-11	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_6h_651.gff	GSE16319, GSM409616, GSM409617, GSM409618
121	Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_poly-Ap_p200_409-410-411_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, extended germ band stage, late extended germ band stage, embryonic stage 9-11	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_6h_RWP+_652.gff	GSE23219, GSM571093, GSM571093, GSM571094, GSM571095
122	Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_poly-Ap_p200_412-413-414_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, late extended germ band stage, embryonic stage 11-12	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_8h_RWP+_653.gff	GSE16320, GSM409619, GSM409620, GSM409621
127	SDC-3_N2_Mixed_Embryos_(JL00002_SDC3_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=sdc-3;AbName=SDC-3;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	9/30/08	12/4/09	released	computed_peaks/SDC3_chrX_peaks.gff	GSM147967
139	Dm_mbn2_TotalRNA_p200_044-046-048_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	mbn2				10/10/08	1/27/09	released	Dro2_AS_mbn2_791.gff	GSE16321, GSM409622, GSM409623, GSM409624
140	Dm_CME_W2_TotalRNA_p200_460-462-464_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	CME W2				10/10/08	1/27/09	released	Dro2_AS_CME-W2_786.gff	GSE16322, GSM409625, GSM409626, GSM409627
146 superseded by 2675	MB5	Celniker	Brent	Computational annotation	gene model			Drosophila sp., Drosophila melanogaster					9/1/08	3/17/09	replaced	transcript_clusters/dm3_run8.gff3, models/MB05.gff3	
